product_id,store_id,brand_id,date,sales_product,MA7_P,LAG7_P,sales_brand,MA7_B,LAG7_B,sales_store,MA7_S,LAG7_S
0,0,0,2021-01-01,6,,,6,,,39,,
0,0,1,2021-01-01,6,,,7,,,39,,
0,0,0,2021-01-02,19,,,19,,,48,,
0,0,1,2021-01-02,19,,,8,,,48,,
0,0,0,2021-01-03,14,,,14,,,53,,
0,0,1,2021-01-03,14,,,4,,,53,,
0,0,0,2021-01-04,10,,,10,,,29,,
0,0,1,2021-01-04,10,,,0,,,29,,
0,0,0,2021-01-05,7,,,7,,,57,,
0,0,1,2021-01-05,7,,,18,,,57,,
0,0,0,2021-01-06,6,,,6,,,32,,
0,0,1,2021-01-06,6,,,9,,,32,,
0,0,0,2021-01-07,18,11.428571428571429,,18,11.428571428571429,,64,46.0,
0,0,1,2021-01-07,18,11.428571428571429,,11,8.142857142857142,,64,46.0,
0,0,0,2021-01-08,10,12.0,6.0,10,12.0,6.0,63,49.42857142857143,39.0
0,0,1,2021-01-08,10,12.0,6.0,14,9.142857142857142,7.0,63,49.42857142857143,39.0
0,0,0,2021-01-09,10,10.714285714285714,19.0,10,10.714285714285714,19.0,41,48.42857142857143,48.0
0,0,1,2021-01-09,10,10.714285714285714,19.0,8,9.142857142857142,8.0,41,48.42857142857143,48.0
0,0,0,2021-01-10,3,9.142857142857142,14.0,3,9.142857142857142,14.0,52,48.285714285714285,53.0
0,0,1,2021-01-10,3,9.142857142857142,14.0,19,11.285714285714286,4.0,52,48.285714285714285,53.0
0,0,0,2021-01-11,7,8.714285714285714,10.0,7,8.714285714285714,10.0,57,52.285714285714285,29.0
0,0,1,2021-01-11,7,8.714285714285714,10.0,16,13.571428571428571,0.0,57,52.285714285714285,29.0
0,0,0,2021-01-12,2,8.0,7.0,2,8.0,7.0,46,50.714285714285715,57.0
0,0,1,2021-01-12,2,8.0,7.0,16,13.285714285714286,18.0,46,50.714285714285715,57.0
0,0,0,2021-01-13,1,7.285714285714286,6.0,1,7.285714285714286,6.0,40,51.857142857142854,32.0
0,0,1,2021-01-13,1,7.285714285714286,6.0,19,14.714285714285714,9.0,40,51.857142857142854,32.0
0,0,0,2021-01-14,11,6.285714285714286,18.0,11,6.285714285714286,18.0,35,47.714285714285715,64.0
0,0,1,2021-01-14,11,6.285714285714286,18.0,11,14.714285714285714,11.0,35,47.714285714285715,64.0
0,0,0,2021-01-15,5,5.571428571428571,10.0,5,5.571428571428571,10.0,42,44.714285714285715,63.0
0,0,1,2021-01-15,5,5.571428571428571,10.0,6,13.571428571428571,14.0,42,44.714285714285715,63.0
0,0,0,2021-01-16,1,4.285714285714286,10.0,1,4.285714285714286,10.0,26,42.57142857142857,41.0
0,0,1,2021-01-16,1,4.285714285714286,10.0,1,12.571428571428571,8.0,26,42.57142857142857,41.0
